Year,Rep,Blk,Entry,Treatment,Accession,Name,Main_plot,x,y,salinity_0_6,salinity_6_24,SLA_leaf_area,SLA_leaf_wt,standct_early_row1,standct_early_row2,standct_late_row1,standct_late_row2,plants_m2,X_4_plant_bloom_Julian,flower,height_front,height_back,height,lodging,matu,maturity,survivors_plot,survivor_density,survivor_perc_indian,survivor_perc,testweight_g,seed_200wt_g,seed_ct_200wt,dirty_wt_kg,clean_wt_kg,oil_perc,Comments,Harvest_date
2016,1,11,72,Control,Ames 31767,UGA-SAM1-074,7027,132.5,220,1.7,2.53,1012.41,5.65,20,18,NA,NA,4.101049869,228,74,182,167,174.5,3,272,121,38,NA,NA,42.22222222,177.58,10.577,200,0.86,0.54,37.49321989,,NA
2016,1,11,76,Control,Ames 31771,UGA-SAM1-078,8027,132.5,255,2.04,2.86,773.6,4.3,13,16,NA,NA,3.129748584,230,76,125,120,122.5,3,287,136,29,NA,NA,32.22222222,133.93,17.232,200,0.37,0.22,21.74474098,,NA
2016,1,12,105,Saline,Ames 31801,UGA-SAM1-109,10030,147.5,365,6.24,6.51,797.97,4.18,13,10,NA,NA,2.482214394,221,67,88,105,96.5,1,287,136,21,2.266369664,91.30434783,23.33333333,192.94,11.183,200,0.41,0.32,32.01610332,,NA
2016,1,12,11,Control,Ames 31705,UGA-SAM1-012,1037,182.5,10,0,0,942.47,5.62,21,23,NA,NA,4.748584059,209,55,106,103,104.5,1,263,112,44,NA,NA,48.88888889,185.54,9.717,200,0.3,0.19,37.81828334,,NA
2016,1,12,135,Control,Ames 31831,UGA-SAM1-139,1034,167.5,10,0,0,1023.12,5.78,22,23,NA,NA,4.856506424,228,74,158,141,149.5,4,277,126,45,NA,NA,50,171.29,8.048,200,0.19,0.12,38.52523156,,NA
2016,1,12,137,Saline,Ames 31833,UGA-SAM1-141,9035,172.5,330,4.83,4.98,1307.01,8.68,11,18,NA,NA,3.129748584,226,72,124,105,114.5,1,287,136,31,3.345593314,106.8965517,34.44444444,177.17,9.777,200,0.97,0.71,42.61515483,,NA
2016,1,12,15,Control,Ames 31709,UGA-SAM1-016,2032,157.5,45,0,0.1,1161.99,5.91,19,12,NA,NA,3.345593314,227,73,140,142,141,1,287,136,31,NA,NA,34.44444444,218.85,7.797,200,0.68,0.23,38.75066511,,NA
2016,1,12,160,Saline,Ames 31856,UGA-SAM1-164,10029,142.5,365,6.21,6.52,751.45,5.07,16,12,NA,NA,3.021826219,226,72,136,123,129.5,3,272,121,23,2.482214394,82.14285714,25.55555556,195.4,6.062,200,0.25,0.11,39.43183027,,NA
2016,1,12,171,Saline,Ames 31867,UGA-SAM1-175,10033,162.5,365,6.33,6.46,736.86,4.34,7,9,NA,NA,1.726757839,230,76,139,127,133,1,272,121,15,1.618835475,93.75,16.66666667,168.9,8.935,200,0.3,0.14,36.33896228,,NA
2016,1,12,172,Control,Ames 31868,UGA-SAM1-176,1032,157.5,10,0,0,944.93,5.58,28,29,NA,NA,6.151574803,218,64,149,156,152.5,2,263,112,57,NA,NA,63.33333333,211.35,11.163,200,1.12,0.91,40.42076706,,NA
